,PLAYER_NAME,CURR_GP,CURR_MIN,CURR_FTR,TEAM_ABBREVIATION,PAST_GP,PAST_MIN,PAST_FTR,FTR_DIFF,CURR_FTA,PAST_FTA,FTA_DIFF
324,Grayson Allen,23,667.0,0.122,MEM,12,258.0,0.22,-0.098,1.8,3.8,-1.9999999999999998
325,Trae Young,23,783.0,0.407,ATL,20,688.0,0.505,-0.09800000000000003,6.1,10.8,-4.700000000000001
326,Moses Brown,8,32.0,0.4,BOS,7,31.0,0.5,-0.09999999999999998,8.9,16.1,-7.200000000000001
327,Monte Morris,21,625.0,0.046,DEN,21,549.0,0.147,-0.10099999999999999,0.6,2.5,-1.9
328,Garrison Mathews,9,236.0,0.144,WAS,13,231.0,0.246,-0.10200000000000001,2.1,5.0,-2.9
329,Mike Conley,19,536.0,0.118,UTA,23,674.0,0.22,-0.10200000000000001,1.9,3.5,-1.6
330,Patrick Williams,5,125.0,0.095,CHI,20,525.0,0.197,-0.10200000000000001,1.2,2.8,-1.5999999999999999
331,Josh Green,10,52.0,0.0,DAL,17,212.0,0.104,-0.104,0.0,1.9,-1.9
332,Malik Beasley,23,588.0,0.092,MIN,22,697.0,0.196,-0.10400000000000001,1.3,2.8,-1.4999999999999998
333,Marcus Smart,21,730.0,0.159,BOS,17,549.0,0.263,-0.10400000000000001,2.6,4.1,-1.4999999999999996
334,Kyle Anderson,21,455.0,0.104,MEM,17,477.0,0.213,-0.109,1.5,3.2,-1.7000000000000002
335,Mikal Bridges,22,765.0,0.084,PHX,21,700.0,0.193,-0.109,1.2,2.7,-1.5000000000000002
336,Elijah Hughes,6,17.0,0.222,UTA,6,27.0,0.333,-0.11100000000000002,4.3,5.3,-1.0
337,Immanuel Quickley,22,458.0,0.167,NYK,19,367.0,0.28,-0.11300000000000002,2.9,5.3,-2.4
338,Jalen McDaniels,22,331.0,0.153,CHA,9,83.0,0.268,-0.11500000000000002,2.7,4.7,-2.0
339,Kira Lewis Jr.,21,309.0,0.094,NOP,10,88.0,0.213,-0.119,1.0,4.1,-3.0999999999999996
340,Trent Forrest,15,118.0,0.131,UTA,2,9.0,0.25,-0.119,2.4,8.2,-5.799999999999999
341,Matt Thomas,7,30.0,0.0,UTA,11,73.0,0.125,-0.125,0.0,2.0,-2.0
342,Brook Lopez,1,28.0,0.0,MIL,22,598.0,0.126,-0.126,0.0,1.9,-1.9
343,Jarred Vanderbilt,22,498.0,0.147,MIN,20,383.0,0.273,-0.12600000000000003,2.1,3.9,-1.7999999999999998
344,Bradley Beal,20,712.0,0.28,WAS,18,640.0,0.41,-0.12999999999999995,4.0,8.2,-4.199999999999999
345,Derrick Rose,19,451.0,0.129,NYK,15,342.0,0.273,-0.14400000000000002,2.2,5.3,-3.0999999999999996
346,De'Andre Hunter,11,306.0,0.083,ATL,18,579.0,0.227,-0.14400000000000002,1.2,4.5,-3.3
347,Jaylen Nowell,11,64.0,0.077,MIN,8,128.0,0.226,-0.14900000000000002,1.1,3.4,-2.3
348,Nick Richards,19,163.0,0.179,CHA,6,13.0,0.333,-0.15400000000000003,3.1,11.0,-7.9
349,Eric Gordon,19,561.0,0.147,HOU,17,478.0,0.305,-0.158,2.8,5.1,-2.3
350,Willie Cauley-Stein,18,177.0,0.034,DAL,23,401.0,0.203,-0.169,0.4,3.4,-3.0
351,Damian Lillard,20,714.0,0.28,POR,20,721.0,0.456,-0.176,4.5,7.7,-3.2
352,Wendell Carter Jr.,24,692.0,0.17,ORL,14,377.0,0.35,-0.17999999999999997,2.5,5.9,-3.4000000000000004
353,Keita Bates-Diop,16,220.0,0.105,SAS,6,15.0,0.286,-0.181,1.3,4.9,-3.6000000000000005
354,Andre Drummond,22,471.0,0.251,LAL,21,622.0,0.434,-0.183,3.6,6.7,-3.1
355,Chimezie Metu,12,278.0,0.135,SAC,9,62.0,0.321,-0.186,1.9,5.2,-3.3000000000000003
356,Bruno Fernando,7,13.0,0.0,ATL,12,109.0,0.196,-0.196,0.0,3.6,-3.6
357,Jordan Nwora,20,368.0,0.087,MIL,10,82.0,0.286,-0.19899999999999998,1.3,4.4,-3.1000000000000005
358,Precious Achiuwa,20,526.0,0.179,MIA,22,350.0,0.38,-0.201,2.4,6.5,-4.1
359,Naji Marshall,17,205.0,0.29,NOP,3,8.0,0.5,-0.21000000000000002,5.1,8.7,-3.5999999999999996
360,Damian Jones,10,84.0,0.212,SAC,7,63.0,0.429,-0.217,4.7,5.1,-0.39999999999999947
361,Robert Woodard II,1,3.0,0.0,SAC,6,17.0,0.222,-0.222,0.0,4.2,-4.2
362,Ignas Brazdeikis,11,92.0,0.054,ORL,4,7.0,0.286,-0.23199999999999998,0.8,10.1,-9.299999999999999
363,Chris Chiozza,10,110.0,0.024,BKN,8,90.0,0.259,-0.23500000000000001,0.3,2.8,-2.5
364,CJ Elleby,11,54.0,0.0,POR,9,75.0,0.237,-0.237,0.0,4.3,-4.3
365,Jake Layman,7,34.0,0.0,MIN,17,256.0,0.238,-0.238,0.0,2.8,-2.8
366,Evan Fournier,22,628.0,0.123,BOS,14,398.0,0.395,-0.272,1.7,6.8,-5.1
367,Hamidou Diallo,16,233.0,0.153,DET,21,450.0,0.425,-0.272,2.8,7.0,-4.2
368,Udoka Azubuike,4,8.0,0.0,UTA,12,49.0,0.316,-0.316,0.0,4.4,-4.4
369,DeMarcus Cousins,1,15.0,0.0,LAC,18,325.0,0.321,-0.321,0.0,4.9,-4.9
370,Brodric Thomas,2,2.0,0.0,CLE,4,24.0,0.35,-0.35,0.0,10.4,-10.4
371,Vernon Carey Jr.,1,1.0,0.0,CHA,3,6.0,1.0,-1.0,0.0,11.5,-11.5
